0,1,2,3
IGKC,CAMK2N1,WFDC2,IL7R
IGHG1,KIAA1217,ZNF385B,CCL19
TMSB4X,HGS,GSTM3,MBNL1
IGHG3,TM4SF1,AIMP1,SELL
IGLC1,PSME4,CYB5A,LIMD2
COL3A1,GFRA1,AGR2,SPOCK2
PDK1,SPP1,MT-ND1,TRBC2
IGHM,CA2,AZGP1,RIPOR2
VIM,TLR6,APBB2,MSN
XBP1,SLC9A3R1,SCD,BANK1
COL1A1,RAC3,REPS2,LSP1
JCHAIN,S100A11,TTC39A,ARHGDIB
DCN,NFKBIA,ARHGAP29,ITGAX
MZB1,TRIM47,ZNF552,MYO1G
LUM,NOP56,GASK1B,ARHGEF1
SELENOP,ELOVL2,IER3IP1,CCL5
IGHA1,NUPR1,TGFBR3,MS4A1
B2M,RHOH,PIGN,CD52
FBXW7,MGP,NDUFAF6,ARPC1B
ITM2C,LTF,DSG2,ARID5B
C3,MMP14,NELL2,DBNL
COL1A2,ESR1,BRIP1,IKZF1
APOE,MAGED1,PARD6B,ALG13
PIM2,CANT1,SQLE,WIPF1
FN1,LRP1B,TRPS1,DGKA
SEL1L3,VPS11,ZFYVE9,CORO1A
TXNDC5,MGST1,DBNDD2,ARHGEF2
MCL1,MUCL1,MT-ND2,APBB1IP
TMSB10,TACSTD2,IGFBP5,MCOLN2
BTG2,FASN,LAPTM4B,RFTN1
ELL2,CELSR1,GRSF1,RASSF5
TXNIP,MLPH,NDUFAF8,LTF
OGT,FSIP1,TFF3,TRAC
COL6A3,TOX4,ANKRD17,TNFAIP3
CD74,FN3KRP,HSPA9,SNX20
OAZ1,SEPTIN9,PRELID3B,CD37
AEBP1,ATG9A,MIPOL1,UCP2
SPARC,GRHL2,INTS2,TBC1D10C
SEL1L,COPS7B,LRATD2,SIGIRR
FTH1,DPY30,ANKRD26,ALOX5AP
APOD,COPG2,CISD3,PIK3CD
RNASE1,YY1AP1,UGDH,LAPTM5
IFI16,SP100,MT-ND3,FCMR
IFI6,CHMP6,TK1,TPP1
CCDC80,LRP10,MT-ND5,GPR137B
N4BP2L2,TRIM25,SERPINA5,C1S
HERPUD1,NDUFV3,ST7,LRMP
VCAN,ESRP1,EFNA1,LY75
TRAM1,PTPRK,HSPH1,TMC8
FOS,METTL5,RERG,TRAF1
HCLS1,WDR27,TMEM64,CNTRL
APOL6,CFB,SUV39H2,CLU
SRGN,DSP,ANAPC11,PPP1R18
PECAM1,APP,RAB25,NFKBID
IFI44L,KIF12,ARMC10,ARRB2
CD38,SEMA3C,PIK3R3,HVCN1
PSAP,BMPR1B,MYB,RASGRP2
S100A6,BHLHE40,TMEM97,NR1H3
SEC11C,NR2E3,HSPA1B,PLD4
RESF1,TPD52L1,TMEM141,GPR183
IGFBP7,TRAF3IP1,MCCC2,CHD3
LGALS1,HOMER2,GPR160,TCF7
CTSZ,AGTR1,MT-CYB,STK17B
TENT5C,SLC7A8,HSPE1,CD6
TAGLN,CLCN7,MICOS10,ZNF101
COL6A1,KRT14,KIAA1324,STAP1
IFI44,AP1AR,PPM1H,CD28
MGP,ATL2,SLC39A6,SP110
ADA2,PLOD3,KCNJ3,ELF1
FCHSD2,APEH,GOLM1,MYH9
ENTPD4,ALDH3A2,TRMT10C,PTGDS
TRAC,GAL,MYC,CD2
TXNDC11,ARRDC1,PEG10,ITGB2
EAF2,STARD10,TOMM5,RHOF
DDHD1,ZNF606,NSMCE2,CD48
SYNE2,PCBP2,SDC4,RASSF4
TIMP1,DERL1,METTL2A,CXCR4
LYZ,HID1,ARMT1,IFI30
MS4A7,OTUD5,ZNF572,DR1
CYTIP,CBX4,AHCYL1,SLC20A1
FAM214A,DHRSX,FLNB,TRIM22
A2M,COMT,GRPEL1,IL16
CCN1,EXOC2,GUF1,IRF8
RBM33,OGFOD3,LSM4,UBE2E2
HNRNPH3,TCTN1,GFRA1,EPSTI1
SFRP4,WSB2,RPRD1A,TRAT1
CTHRC1,SEC24D,NUDCD2,LPXN
DAB2,EIF4A1,RBBP7,ZAP70
BACH1,EXT1,TPGS2,COTL1
C1S,TMEM94,HIST1H1B,TMEM63A
CCN2,CLDN4,APH1A,CHST11
LMAN1,FANCF,TPX2,SARAF
RRBP1,ZNF117,PSMA2,KLHL6
ST6GAL1,PTPRF,PYCR1,AGAP2
SMCHD1,INTU,CDK4,ADGRE5
ETS1,TOR3A,VIRMA,PLEK
UBE2J1,RGS1,PTPN3,MINDY3
MMP2,UBD,TFF1,AKNA
ARHGAP15,HECTD2,RCN1,CD22
CTSB,RSL1D1,NT5C3B,SLC39A8
